,PM2.5,AOD,Temperature,RH,Wind Speed,Solar Rad,BP,Rain,Month,DayOfYear,Year,Season_ord,AOD_Loading_ord,Rain_Status_ord,Humidity_ord,Temp_ord,Wind_Polluted,Wind_Origin_missing,WindDir_sin,WindDir_cos,WindDir_missing,GeoZone_enc,Station_enc,Latitude,Longitude
PM2.5,1.0,0.13742049701927436,-0.5089487739019571,-0.2153182630543609,0.02989187411912111,-0.13923504637595374,0.2767838862801485,0.0995897743369339,-0.27459995788422675,-0.26672430336400565,0.020253169753048895,0.6870521189931784,0.1277227200004436,0.10266755289547205,-0.14695153864719873,-0.4078499430402733,0.0018005852093627463,-0.07638398843132156,-0.1930565038117065,0.004758030537944413,-0.07638398843132156,0.2568568076720334,0.28595220953104916,-0.04011339334773673,-0.07123681339659768
AOD,0.13742049701927436,1.0,-0.0629308409123164,0.004688610341750726,-0.04433733197924197,0.024665185422294095,-0.004299562120789454,0.033257748467851476,-0.15199549530103607,-0.143112246667804,-0.019691749096872446,0.14452117045148094,0.9109918723723435,0.023324028656128565,0.010620519456686756,-0.04859147947082703,0.028299522070781073,0.03771831166639853,-0.02337794564388125,0.01844667017079123,0.03771831166639853,0.11649068646254172,0.1217119410650409,-0.028773099282831227,-0.1625696566039201
Temperature,-0.5089487739019571,-0.0629308409123164,1.0,-0.0462319775101551,0.17185683966468704,0.19299567301804066,-0.4375090311414215,0.0009464168460035153,0.14171704573042812,0.1416626853406911,-0.06722639903469317,-0.6357351923841148,-0.05224080559040984,-0.012229406379000662,-0.06167216451888246,0.8598058189561286,-0.08634634369394702,-0.015188862696071627,0.11720071770875472,-0.10192150584966268,-0.015188862696071627,0.11851219303466497,0.17809153851253698,-0.032835342435758454,0.021595937649473002
RH,-0.2153182630543609,0.004688610341750726,-0.0462319775101551,1.0,-0.27572802829386606,-0.38935847660581957,-0.00529140316601044,-0.16340764199487864,0.10647695838093174,0.10424953614905326,0.004587184193283953,-0.07401480698324935,-0.0007912894284412105,-0.16073900040397854,0.8963295180730916,0.0057141013149971075,0.05693391474973752,0.11003296490891591,0.007585460594212703,0.06036433963527065,0.11003296490891591,-0.4074642209902557,-0.35845546270809,0.06922761997571418,-0.08623119267948627
Wind Speed,0.02989187411912111,-0.04433733197924197,0.17185683966468704,-0.27572802829386606,1.0,-0.12388417104573261,-0.22616405127194186,0.3090813534570464,0.017288607682883893,0.01812862781808753,-0.10421814157249469,-0.12028607939835483,-0.03880277369560879,0.31358230006952953,-0.2890310461046051,0.18570648461484315,-0.1625716259035137,-0.19272919053012674,0.1213903791116134,-0.16181392623181534,-0.19272919053012674,0.32392274657315023,0.3407522896321065,0.09080996914992054,0.35510387946284017
Solar Rad,-0.13923504637595374,0.024665185422294095,0.19299567301804066,-0.38935847660581957,-0.12388417104573261,1.0,-0.044084605934213754,0.14063621758401265,-0.04312996038511597,-0.04369032696131816,-0.0015690933556258633,-0.14310216010004578,0.028377339000611335,0.12085054396716785,-0.33836601777194986,0.15731574944497495,-0.015815698398077525,-0.018040796094928327,0.05958439249116396,-0.03056796656969062,-0.018040796094928327,0.14479174684017004,0.0244473160484458,-0.0763461088466322,-0.019740989540701272
BP,0.2767838862801485,-0.004299562120789454,-0.4375090311414215,-0.00529140316601044,-0.22616405127194186,-0.044084605934213754,1.0,-0.005524005888133194,-0.11583700200475103,-0.11530909736398537,-0.07373594162300015,0.44393272531885497,-0.009200211240528501,0.009456848428821014,0.004724855991258974,-0.3703592948362874,-0.06032616552401244,-0.14658512256674722,-0.08688717681458322,-0.0394894839454494,-0.14658512256674722,-0.27913591736727716,-0.3220101983911266,-0.07716333135996888,-0.06397744837344706
Rain,0.0995897743369339,0.033257748467851476,0.0009464168460035153,-0.16340764199487864,0.3090813534570464,0.14063621758401265,-0.005524005888133194,1.0,-0.03912690012178684,-0.040608674441641714,-0.3820738731184542,0.04045238630720844,0.030718990127203208,0.9821945516552719,-0.1418427102234074,0.03947958573680943,-0.3359355662170963,-0.5562608998933102,0.21493050837412916,-0.32911724422902455,-0.5562608998933102,0.19522498535504856,0.14785631482085312,0.06933278763806612,0.24434393995383596
Month,-0.27459995788422675,-0.15199549530103607,0.14171704573042812,0.10647695838093174,0.017288607682883893,-0.04312996038511597,-0.11583700200475103,-0.03912690012178684,1.0,0.9943313378158954,-0.031859351142172275,-0.389209241408852,-0.14429340286173906,-0.04278888329716237,0.08932197156242189,0.1135290077898554,0.050238998029663105,0.0015524610272825965,0.04182798287698166,0.06554971486462978,0.0015524610272825965,-0.018364268582031724,-0.027987946095730576,0.047679181411133774,0.022913590847788982
DayOfYear,-0.26672430336400565,-0.143112246667804,0.1416626853406911,0.10424953614905326,0.01812862781808753,-0.04369032696131816,-0.11530909736398537,-0.040608674441641714,0.9943313378158954,1.0,-0.0336251176553855,-0.38701056245608423,-0.1354930229754172,-0.04378329822120849,0.08721334129602981,0.11370545520310357,0.05065934346834526,0.0004772948078850854,0.04122682295067667,0.06554112679538214,0.0004772948078850854,-0.01825839255250158,-0.02805815677192738,0.048351782014239696,0.02270579961323156
Year,0.020253169753048895,-0.019691749096872446,-0.06722639903469317,0.004587184193283953,-0.10421814157249469,-0.0015690933556258633,-0.07373594162300015,-0.3820738731184542,-0.031859351142172275,-0.0336251176553855,1.0,-0.006438741370470792,-0.021781227016958213,-0.3930157230495797,-0.009106748603704614,-0.09276990031608924,0.38630959976412155,0.514090735439445,-0.06972417997442931,0.3680674878249063,0.514090735439445,0.07058812293895583,0.022763262204417014,0.009536249467090632,-0.093125316141928
Season_ord,0.6870521189931784,0.14452117045148094,-0.6357351923841148,-0.07401480698324935,-0.12028607939835483,-0.14310216010004578,0.44393272531885497,0.04045238630720844,-0.389209241408852,-0.38701056245608423,-0.006438741370470792,1.0,0.1339112883527657,0.05447273479108404,-0.05196694652735041,-0.48412127492932433,-0.006163148354966187,-0.05467628016843169,-0.11163418352674838,-0.010043900453588944,-0.05467628016843169,-0.01667200408697476,-0.006091274392756382,-0.04301526010299417,-0.004233661610023339
AOD_Loading_ord,0.1277227200004436,0.9109918723723435,-0.05224080559040984,-0.0007912894284412105,-0.03880277369560879,0.028377339000611335,-0.009200211240528501,0.030718990127203208,-0.14429340286173906,-0.1354930229754172,-0.021781227016958213,0.1339112883527657,1.0,0.02027097514467022,0.003611794527490237,-0.035927820446273476,0.024988825326908926,0.03529991192075455,-0.02823724532669642,0.015977031593617488,0.03529991192075455,0.10901170887334855,0.11619221799848647,-0.03362190947200005,-0.1524907436280823
Rain_Status_ord,0.10266755289547205,0.023324028656128565,-0.012229406379000662,-0.16073900040397854,0.31358230006952953,0.12085054396716785,0.009456848428821014,0.9821945516552719,-0.04278888329716237,-0.04378329822120849,-0.3930157230495797,0.05447273479108404,0.02027097514467022,1.0,-0.13867867087164074,0.02842608353073195,-0.35442564958274575,-0.5781859116697128,0.22316326357857247,-0.34875867727341264,-0.5781859116697128,0.16570915403843994,0.12081323046871874,0.07775692255320957,0.27459517977648773
Humidity_ord,-0.14695153864719873,0.010620519456686756,-0.06167216451888246,0.8963295180730916,-0.2890310461046051,-0.33836601777194986,0.004724855991258974,-0.1418427102234074,0.08932197156242189,0.08721334129602981,-0.009106748603704614,-0.05196694652735041,0.003611794527490237,-0.13867867087164074,1.0,-0.004864561120787337,0.027100313034063746,0.07855060132439204,-0.0031529906100796106,0.03313117236399915,0.07855060132439204,-0.3719131877575289,-0.32374276934065516,0.05744071420144557,-0.06380590672945248
Temp_ord,-0.4078499430402733,-0.04859147947082703,0.8598058189561286,0.0057141013149971075,0.18570648461484315,0.15731574944497495,-0.3703592948362874,0.03947958573680943,0.1135290077898554,0.11370545520310357,-0.09276990031608924,-0.48412127492932433,-0.035927820446273476,0.02842608353073195,-0.004864561120787337,1.0,-0.1253744878959916,-0.08356689960661895,0.11649186087624283,-0.139659118295335,-0.08356689960661895,0.08994256472191864,0.1490144157407195,-0.035025971039321105,0.04390465187194836
Wind_Polluted,0.0018005852093627463,0.028299522070781073,-0.08634634369394702,0.05693391474973752,-0.1625716259035137,-0.015815698398077525,-0.06032616552401244,-0.3359355662170963,0.050238998029663105,0.05065934346834526,0.38630959976412155,-0.006163148354966187,0.024988825326908926,-0.35442564958274575,0.027100313034063746,-0.1253744878959916,1.0,0.5943327007371604,-0.05765761032061768,0.956733651965927,0.5943327007371604,0.012453671017026323,-0.03478854356655693,0.012973980879201786,-0.25461654567183084
Wind_Origin_missing,-0.07638398843132156,0.03771831166639853,-0.015188862696071627,0.11003296490891591,-0.19272919053012674,-0.018040796094928327,-0.14658512256674722,-0.5562608998933102,0.0015524610272825965,0.0004772948078850854,0.514090735439445,-0.05467628016843169,0.03529991192075455,-0.5781859116697128,0.07855060132439204,-0.08356689960661895,0.5943327007371604,1.0,-0.18318875168152712,0.5686180952590358,1.0,-0.07265811002642562,-0.11420623761668196,-0.009098302524341507,-0.296634917048364
WindDir_sin,-0.1930565038117065,-0.02337794564388125,0.11720071770875472,0.007585460594212703,0.1213903791116134,0.05958439249116396,-0.08688717681458322,0.21493050837412916,0.04182798287698166,0.04122682295067667,-0.06972417997442931,-0.11163418352674838,-0.02823724532669642,0.22316326357857247,-0.0031529906100796106,0.11649186087624283,-0.05765761032061768,-0.18318875168152712,1.0,-0.04088650443417461,-0.18318875168152712,-0.07199837331135457,-0.10462611524834971,0.10498150307633163,0.27176549627395064
WindDir_cos,0.004758030537944413,0.01844667017079123,-0.10192150584966268,0.06036433963527065,-0.16181392623181534,-0.03056796656969062,-0.0394894839454494,-0.32911724422902455,0.06554971486462978,0.06554112679538214,0.3680674878249063,-0.010043900453588944,0.015977031593617488,-0.34875867727341264,0.03313117236399915,-0.139659118295335,0.956733651965927,0.5686180952590358,-0.04088650443417461,1.0,0.5686180952590358,0.010916280202604435,-0.037529460763533445,0.02073954774988397,-0.2560345986487353
WindDir_missing,-0.07638398843132156,0.03771831166639853,-0.015188862696071627,0.11003296490891591,-0.19272919053012674,-0.018040796094928327,-0.14658512256674722,-0.5562608998933102,0.0015524610272825965,0.0004772948078850854,0.514090735439445,-0.05467628016843169,0.03529991192075455,-0.5781859116697128,0.07855060132439204,-0.08356689960661895,0.5943327007371604,1.0,-0.18318875168152712,0.5686180952590358,1.0,-0.07265811002642562,-0.11420623761668196,-0.009098302524341507,-0.296634917048364
GeoZone_enc,0.2568568076720334,0.11649068646254172,0.11851219303466497,-0.4074642209902557,0.32392274657315023,0.14479174684017004,-0.27913591736727716,0.19522498535504856,-0.018364268582031724,-0.01825839255250158,0.07058812293895583,-0.01667200408697476,0.10901170887334855,0.16570915403843994,-0.3719131877575289,0.08994256472191864,0.012453671017026323,-0.07265811002642562,-0.07199837331135457,0.010916280202604435,-0.07265811002642562,1.0,0.9076709062218504,-0.2318251660332424,-0.01105965691988267
Station_enc,0.28595220953104916,0.1217119410650409,0.17809153851253698,-0.35845546270809,0.3407522896321065,0.0244473160484458,-0.3220101983911266,0.14785631482085312,-0.027987946095730576,-0.02805815677192738,0.022763262204417014,-0.006091274392756382,0.11619221799848647,0.12081323046871874,-0.32374276934065516,0.1490144157407195,-0.03478854356655693,-0.11420623761668196,-0.10462611524834971,-0.037529460763533445,-0.11420623761668196,0.9076709062218504,1.0,-0.20988836000840258,-0.09484062256485762
Latitude,-0.04011339334773673,-0.028773099282831227,-0.032835342435758454,0.06922761997571418,0.09080996914992054,-0.0763461088466322,-0.07716333135996888,0.06933278763806612,0.047679181411133774,0.048351782014239696,0.009536249467090632,-0.04301526010299417,-0.03362190947200005,0.07775692255320957,0.05744071420144557,-0.035025971039321105,0.012973980879201786,-0.009098302524341507,0.10498150307633163,0.02073954774988397,-0.009098302524341507,-0.2318251660332424,-0.20988836000840258,1.0,-0.19134622815043098
Longitude,-0.07123681339659768,-0.1625696566039201,0.021595937649473002,-0.08623119267948627,0.35510387946284017,-0.019740989540701272,-0.06397744837344706,0.24434393995383596,0.022913590847788982,0.02270579961323156,-0.093125316141928,-0.004233661610023339,-0.1524907436280823,0.27459517977648773,-0.06380590672945248,0.04390465187194836,-0.25461654567183084,-0.296634917048364,0.27176549627395064,-0.2560345986487353,-0.296634917048364,-0.01105965691988267,-0.09484062256485762,-0.19134622815043098,1.0
