Feature,Target,N,Spearman_rho,Spearman_p,Spearman_sig,Pearson_r,Pearson_p,Pearson_sig
Temperature,PM2.5,11045,-0.5089,0.0,***,-0.4662,0.0,***
Temperature,AOD,11045,-0.0629,0.0,***,-0.0787,0.0,***
RH,PM2.5,11045,-0.2153,0.0,***,-0.1425,0.0,***
RH,AOD,11045,0.0047,0.622226,ns,0.007,0.461825,ns
Wind Speed,PM2.5,11045,0.0299,0.001679,**,0.1206,0.0,***
Wind Speed,AOD,11045,-0.0443,3e-06,***,0.0059,0.53199,ns
Solar Rad,PM2.5,11045,-0.1392,0.0,***,-0.0235,0.01346,*
Solar Rad,AOD,11045,0.0247,0.009534,**,0.032,0.000771,***
BP,PM2.5,11045,0.2768,0.0,***,0.0746,0.0,***
BP,AOD,11045,-0.0043,0.651403,ns,-0.0031,0.74319,ns
Rain,PM2.5,11045,0.0996,0.0,***,0.0373,8.9e-05,***
Rain,AOD,11045,0.0333,0.000473,***,0.0179,0.060565,ns
Month,PM2.5,11045,-0.2746,0.0,***,-0.3024,0.0,***
Month,AOD,11045,-0.152,0.0,***,-0.1632,0.0,***
DayOfYear,PM2.5,11045,-0.2667,0.0,***,-0.2966,0.0,***
DayOfYear,AOD,11045,-0.1431,0.0,***,-0.1604,0.0,***
Year,PM2.5,11045,0.0203,0.033297,*,0.0336,0.00042,***
Year,AOD,11045,-0.0197,0.038502,*,-0.0251,0.008364,**
Season_ord,PM2.5,11045,0.6871,0.0,***,0.6405,0.0,***
Season_ord,AOD,11045,0.1445,0.0,***,0.1418,0.0,***
AOD_Loading_ord,PM2.5,11045,0.1277,0.0,***,0.1404,0.0,***
AOD_Loading_ord,AOD,11045,0.911,0.0,***,0.8195,0.0,***
Rain_Status_ord,PM2.5,11045,0.1027,0.0,***,0.1131,0.0,***
Rain_Status_ord,AOD,11045,0.0233,0.014234,*,0.0325,0.00064,***
Humidity_ord,PM2.5,11045,-0.147,0.0,***,-0.126,0.0,***
Humidity_ord,AOD,11045,0.0106,0.264392,ns,0.0165,0.083508,ns
Temp_ord,PM2.5,11045,-0.4078,0.0,***,-0.3788,0.0,***
Temp_ord,AOD,11045,-0.0486,0.0,***,-0.0632,0.0,***
Wind_Polluted,PM2.5,11045,0.0018,0.849927,ns,0.0178,0.061746,ns
Wind_Polluted,AOD,11045,0.0283,0.002936,**,0.0243,0.010741,*
Wind_Origin_missing,PM2.5,11045,-0.0764,0.0,***,-0.0645,0.0,***
Wind_Origin_missing,AOD,11045,0.0377,7.3e-05,***,0.0335,0.000425,***
WindDir_sin,PM2.5,11045,-0.1931,0.0,***,-0.2005,0.0,***
WindDir_sin,AOD,11045,-0.0234,0.014012,*,-0.0062,0.513742,ns
WindDir_cos,PM2.5,11045,0.0048,0.61708,ns,0.0122,0.1981,ns
WindDir_cos,AOD,11045,0.0184,0.05255,ns,0.0204,0.032243,*
WindDir_missing,PM2.5,11045,-0.0764,0.0,***,-0.0645,0.0,***
WindDir_missing,AOD,11045,0.0377,7.3e-05,***,0.0335,0.000425,***
GeoZone_enc,PM2.5,11045,0.2569,0.0,***,0.2984,0.0,***
GeoZone_enc,AOD,11045,0.1165,0.0,***,0.0997,0.0,***
Station_enc,PM2.5,11045,0.286,0.0,***,0.3285,0.0,***
Station_enc,AOD,11045,0.1217,0.0,***,0.119,0.0,***
Latitude,PM2.5,11045,-0.0401,2.5e-05,***,-0.0124,0.192033,ns
Latitude,AOD,11045,-0.0288,0.002493,**,-0.0269,0.004711,**
Longitude,PM2.5,11045,-0.0712,0.0,***,-0.0883,0.0,***
Longitude,AOD,11045,-0.1626,0.0,***,-0.1383,0.0,***
