Feature,Importance
DayOfYear,0.19487289213939624
Season_Winter,0.1765649388649022
Month,0.15396203073062148
Geo_Zone_Inland_Urban,0.0801115788390012
Season_Monsoon,0.07198481395722424
Temperature,0.037128281258670195
Geo_Zone_Inland_SemiUrban,0.02559461153826875
BP,0.025485009333149768
RH,0.024357868190140984
Geo_Zone_Coastal,0.02099150597991983
Solar Rad,0.02030959573783511
Wind Speed,0.014929873015330105
Rain,0.014784730579609577
AOD_x_Wind_Speed,0.012916765979673922
Season_Post-Monsoon,0.012015073599421942
AOD_x_Solar_Rad,0.011787469612623154
Season_Pre-Monsoon,0.011343352786860684
Temp_Profile_Cool (<20°C),0.008370990301984524
AOD_x_RH,0.007342130725150786
AOD_x_Temperature,0.00727014607166076
AOD_x_BP,0.007044086916030509
Temp_Profile_Hot (>28°C),0.006929016931220457
AOD_sqrt,0.0066303670203476
AOD_sq,0.006584310862475137
AOD,0.006567632348269799
AOD_log,0.0064952064167698295
Temp_Profile_Warm (20-28°C),0.004604097173637626
Rain_Status_Heavy Rain,0.004298998601886087
Rain_Status_No Rain,0.004175919512546863
Humidity_Profile_Humid (>75%),0.003240818479800395
Rain_Status_Light Rain,0.00294833209153508
Wind_Origin_Marine (Clean),0.0028376922761327067
Humidity_Profile_Moderate (50-75%),0.0018775658205494655
Humidity_Profile_Dry (<50%),0.0015808449394981157
Wind_Origin_Continental (Polluted),0.0009834134667230465
AOD_Loading_Low AOD (<0.3),0.0003955245082833703
AOD_Loading_Moderate AOD (0.3-0.8),0.0003689957567142144
AOD_Loading_High AOD (>0.8),0.0003135176361345172
